F5BI-DM-000003,V-60091,SV-74521,SV-74521r2_rule,V-217381,SV-217381r557520_rule
F5BI-DM-000007,V-60093,SV-74523,SV-74523r2_rule,V-217382,SV-217382r557520_rule
F5BI-DM-000013,V-60095,SV-74525,SV-74525r1_rule,V-228978,SV-228978r557520_rule
F5BI-DM-000015,V-60097,SV-74527,SV-74527r1_rule,V-228979,SV-228979r557520_rule
F5BI-DM-000017,V-60099,SV-74529,SV-74529r1_rule,V-228980,SV-228980r557520_rule
F5BI-DM-000019,V-60103,SV-74533,SV-74533r1_rule,V-217383,SV-217383r557520_rule
F5BI-DM-000021,V-60105,SV-74535,SV-74535r1_rule,V-217384,SV-217384r557520_rule
F5BI-DM-000023,V-60107,SV-74537,SV-74537r1_rule,V-217385,SV-217385r557520_rule
F5BI-DM-000025,V-60109,SV-74539,SV-74539r1_rule,V-217386,SV-217386r557520_rule
F5BI-DM-000027,V-60111,SV-74541,SV-74541r1_rule,V-217387,SV-217387r557520_rule
F5BI-DM-000031,V-60113,SV-74543,SV-74543r1_rule,V-217388,SV-217388r557520_rule
F5BI-DM-000033,V-60241,SV-74671,SV-74671r1_rule,V-217389,SV-217389r557520_rule
F5BI-DM-000037,V-60115,SV-74545,SV-74545r1_rule,V-228981,SV-228981r557520_rule
F5BI-DM-000039,V-60117,SV-74547,SV-74547r1_rule,V-228982,SV-228982r557520_rule
F5BI-DM-000043,V-60121,SV-74551,SV-74551r1_rule,V-217390,SV-217390r557520_rule
F5BI-DM-000067,V-60123,SV-74553,SV-74553r1_rule,V-228983,SV-228983r557520_rule
F5BI-DM-000073,V-60127,SV-74557,SV-74557r1_rule,V-228985,SV-228985r557520_rule
F5BI-DM-000075,V-60129,SV-74559,SV-74559r1_rule,V-217392,SV-217392r557520_rule
F5BI-DM-000077,V-60131,SV-74561,SV-74561r1_rule,V-217393,SV-217393r557520_rule
F5BI-DM-000079,V-60133,SV-74563,SV-74563r1_rule,V-217394,SV-217394r557520_rule
F5BI-DM-000087,V-60137,SV-74567,SV-74567r2_rule,V-228987,SV-228987r557520_rule
F5BI-DM-000093,V-60139,SV-74569,SV-74569r1_rule,V-217396,SV-217396r557520_rule
F5BI-DM-000095,V-60143,SV-74573,SV-74573r1_rule,V-228988,SV-228988r557520_rule
F5BI-DM-000101,V-60145,SV-74575,SV-74575r1_rule,V-217397,SV-217397r557520_rule
